iteration,elapsed_seconds,temperature,current_cost,best_cost,acceptance_ratio,digraph_cost,single_letter_cost
1000,0.18,0.09135172474836409,2.2404878551447873,1.8381335071987965,0.833,1.9854620255257027,2.5502582961908447
2000,0.36,0.08261686238355864,2.0279476688613745,1.8381335071987965,0.831,1.818892007716483,2.0905566114489127
3000,0.54,0.0747172094331596,2.0113846421942565,1.725030514078449,0.795,1.8053681943567488,2.0601644783750754
4000,0.72,0.0675729049060283,2.0634065976516642,1.725030514078449,0.771,1.8543612476060494,2.090453500456147
5000,0.9,0.061111723953286505,2.0949048905613665,1.725030514078449,0.762,1.8800508892214642,2.148540013399025
6000,1.08,0.05526834771623851,1.889372812424535,1.725030514078449,0.735,1.697609004863462,1.917638075610729
7000,1.27,0.0499837029899199,1.9584638091925788,1.725030514078449,0.725,1.7665979363024622,1.9186587289011656
8000,1.44,0.045204365026647556,1.8510266489063234,1.725030514078449,0.705,1.6780068687242184,1.7301978018210507
9000,1.63,0.04088201744225495,2.0436207388365855,1.725030514078449,0.664,1.8327529761109573,2.108677627256281
10000,1.81,0.03697296376497267,2.0107373902505388,1.716543508443845,0.64,1.8046312633544048,2.061061268961339
11000,1.99,0.03343768568899133,1.9751102617009217,1.716543508443845,0.645,1.7770752861436585,1.9803497555726324
12000,2.17,0.030240443566902198,1.938874042432967,1.716543508443845,0.573,1.7509955787488305,1.878784636841364
13000,2.35,0.027348915102221663,1.9023933384681613,1.716543508443845,0.594,1.7304619040798934,1.7193143438826788
14000,2.53,0.024733868589386858,1.820533432316881,1.7164144836442807,0.558,1.6526598787702154,1.6787355354666553
15000,2.71,0.022368867397864776,1.8258901739292894,1.6954197405563884,0.519,1.657327614069722,1.6856255985956736
16000,2.89,0.020230002712877736,1.8686747440788887,1.6954197405563884,0.481,1.703539308516989,1.651354355618996
17000,3.08,0.018295651830906107,1.8016845354321969,1.6710216709647245,0.46,1.638113077485702,1.6357145794649484
18000,3.27,0.016546259566473494,1.725804324205853,1.6710216709647245,0.401,1.5747736819479061,1.5103064225794685
19000,3.45,0.01496414056036158,1.7887444512470503,1.6710216709647245,0.423,1.6122755372303061,1.7646891401674405
20000,3.64,0.013533300490703223,1.7756120225859986,1.6710216709647245,0.412,1.6158028303114027,1.5980919227459593
21000,3.82,0.01223927437949985,1.7023401716689792,1.651717129569278,0.334,1.5466071736112734,1.5573299805770586
22000,4.0,0.01106898035993417,1.7328843524330377,1.651717129569278,0.353,1.581728305299802,1.511560471332359
23000,4.18,0.010010587426148968,1.6828774638766009,1.651717129569278,0.31,1.537410516099392,1.4546694777720874
24000,4.36,0.00905339582851765,1.747087048614704,1.651717129569278,0.318,1.5908100743334215,1.5627697428128262
25000,4.54,0.008187728905270846,1.7608541501311867,1.650460518911624,0.285,1.601901297926068,1.5895285220511879
26000,4.73,0.007404835256958415,1.6916286641199243,1.6365502104345877,0.283,1.5435467081316445,1.4808195598827978
27000,4.91,0.006696800274786406,1.6741241663817148,1.6365502104345877,0.252,1.530919129265459,1.4320503711625587
28000,5.09,0.006056466128430861,1.6866878808546244,1.6365502104345877,0.25,1.5391075448650533,1.4758033598957112
29000,5.27,0.005477359404450843,1.6634308870391934,1.630161693280195,0.249,1.5115651328332136,1.5186575420597983
30000,5.45,0.004953625663766243,1.657052079465868,1.630161693280195,0.201,1.510257464938878,1.4679461452698996
31000,5.65,0.00447997025661378,1.636168830043692,1.6178028084697382,0.196,1.4913355490692568,1.4483328097443533
32000,5.83,0.004051604796654096,1.6407316946384316,1.6178028084697382,0.193,1.4991055601409968,1.4162613449743475
33000,6.02,0.003664198753113656,1.629591060187555,1.6178028084697382,0.18,1.4864810707662968,1.4310998942125828
34000,6.2,0.003313835671585602,1.6316124647367345,1.6178028084697382,0.159,1.4892031748393222,1.4240928989741222
35000,6.39,0.0029969735809067814,1.6441618727796443,1.6178028084697382,0.152,1.5034534328647935,1.4070843991485074
36000,6.58,0.0027104091858470426,1.6271785861244596,1.6178028084697382,0.133,1.4820289311711132,1.4514965495334644
37000,6.76,0.002451245483619273,1.629299522703389,1.6171344079386907,0.126,1.4830464001018855,1.462531226015036
38000,6.94,0.002216862476831559,1.644553756398524,1.6171344079386907,0.118,1.5029548863204563,1.4159887007806766
39000,7.13,0.002004890686806083,1.6257520145169382,1.6171344079386907,0.113,1.486548165017689,1.3920384949924909
40000,7.31,0.001813187199499512,1.6305559035371833,1.6171344079386907,0.092,1.4861833928274046,1.4437251070977863
41000,7.5,0.0016398140018627717,1.6206940839956454,1.6171344079386907,0.105,1.4749370458000928,1.457570381955526
42000,7.68,0.001483018389633145,1.6106716083331818,1.6098035145814924,0.08,1.470411070562595,1.4026053777058674
43000,7.87,0.0013412152484926392,1.605855029620808,1.6050383423081556,0.066,1.4665779613792587,1.3927706824154944
44000,8.06,0.0012129710294652223,1.6125778026281905,1.6029069281918948,0.058,1.4725775759710238,1.4000022665716672
45000,8.25,0.0010969892565533238,1.6117924248441557,1.6029069281918948,0.066,1.467099679932271,1.4469274491188477
46000,8.44,0.0009920974201040604,1.6068543502444252,1.6029069281918948,0.061,1.46186748374127,1.449868665031554
47000,8.62,0.0008972351234045918,1.6152115526604676,1.6029069281918948,0.05,1.4690236495510867,1.4618790310938086
48000,8.8,0.0008114433626754253,1.6047681815347252,1.6029069281918948,0.051,1.4601777596243024,1.4459042191042273
49000,8.98,0.0007338548320885231,1.6060228261023877,1.6025819543873236,0.027,1.4612465699047574,1.447762561976303
50000,9.17,0.0006636851557994564,1.60690016550824,1.6025819543873236,0.028,1.4617571194059862,1.4514304610225388
51000,9.35,0.0006002249583544541,1.6030356462117847,1.6025819543873236,0.031,1.4581914054578335,1.4484424075395128
52000,9.54,0.0005428326933086744,1.6030583098298643,1.6024666279285666,0.02,1.458398029000685,1.4466028082917919
53000,9.72,0.0004909281575571169,1.603960862686201,1.6024666279285666,0.026,1.4589667671616304,1.449940955245705
54000,9.9,0.0004439866258117547,1.605489363389422,1.6024666279285666,0.038,1.4604617984346802,1.45027564954742
55000,10.08,0.00040153354592779226,1.6033917479781825,1.6024666279285666,0.022,1.4586289386192248,1.4476280935895762
56000,10.27,0.0003631397414518198,1.6037990015138373,1.6024666279285666,0.031,1.4592466846376437,1.4455231687619359
57000,10.45,0.0003284170728923575,1.6037170053736587,1.6024666279285666,0.027,1.4590061349948804,1.4471087037877821
58000,10.63,0.00029701451385070804,1.6025247081457452,1.6024538043888041,0.024,1.457894864900957,1.4462984324478816
59000,10.81,0.0002686146023440346,1.6029734056146676,1.6024538043888041,0.012,1.4582819885362666,1.4469141707840107
60000,10.99,0.0002429302314455628,1.6039868637958297,1.6024538043888041,0.023,1.4594937053433499,1.4449315845247979
61000,11.18,0.00021970174679710716,1.6049522524741042,1.6024538043888041,0.027,1.4600942299580355,1.4485802251606872
62000,11.36,0.0001986943216514267,1.6032526343543525,1.6024538043888041,0.015,1.458749342440214,1.4450329191413838
63000,11.54,0.0001796955829075841,1.603244522697073,1.6024538043888041,0.013,1.4587987986932318,1.4444572400384128
64000,11.72,0.00016251346413987753,1.6031690779614791,1.6024538043888041,0.007,1.458676337417083,1.4449274054439614
65000,11.91,0.00014697426391569138,1.6028923026648394,1.6024538043888041,0.01,1.4584942721574665,1.4439803050737292
66000,12.09,0.0001329208897729646,1.603324899732368,1.6024538043888041,0.017,1.4588401162698286,1.444847834625394
67000,12.27,0.00012021127010489031,1.6030723226386947,1.6024538043888041,0.009,1.4586456220748,1.4442670056389457
68000,12.45,0.00010871691789690456,1.6028923026648394,1.6024538043888041,0.008,1.4584942721574665,1.4439803050737292
